,Company,Search Link,Link,Title,PDF
72,american electric power company,https://www.corporateregister.com/search/?s=american+electric+power+company&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=131666-uRsipe4De8g,2020 Sustainability Accounting Standards Board (SASB) Report. Moving Forward. Together for a Brighter Future,https://www.corporateregister.com/a10723/139570-20oc-28332710U6105210510Q-Gl.pdf
73,american electric power company,https://www.corporateregister.com/search/?s=american+electric+power+company&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=128353-2QA3kwyNsNk,2020 Corporate Accountability Report. Moving Forward. Together for a Brighter Future,https://www.corporateregister.com/a10723/140141-20Su-37697929C10849435938R-Gl.pdf
74,american electric power company,https://www.corporateregister.com/search/?s=american+electric+power+company&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=131665-1SfErYQvWNI,2020 Task Force on Climate-related Financial Disclosures (TCFD) Mapping Report. Moving Forward. Together for a Brighter Future,https://www.corporateregister.com/a10723/140139-20Su-28167939K5846318802H-Gl.pdf
75,american electric power company,https://www.corporateregister.com/search/?s=american+electric+power+company&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=120754-hHkhyXiKCmA,2019 EEI ESG/Sustainability Report for Investors,https://www.corporateregister.com/a10723/140140-20SG-29429400E1265464200K-Gl.pdf
76,aes corporation ,https://www.corporateregister.com/search/?s=aes+corporation+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=38903-tqi7hnVP4UU,Relatório de Sustentabilidade 2010,https://www.corporateregister.com/a10723/127630-20Co-33694320U7652950060F-Gl.pdf
77,aflac ,https://www.corporateregister.com/search/?s=aflac+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=135163-ygxyH7uIt8E,2019 Corporate Social Responsibility Report. Investing today for a better tomorrow,https://www.corporateregister.com/a10723/137666-20Su-31938512G12446933724F-Gl.pdf
78,aflac ,https://www.corporateregister.com/search/?s=aflac+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=124673-14FsKANrD7g,2019 ESG Report,https://www.corporateregister.com/a10723/130857-20Co-26956542D17168438400U-Gl.pdf
79,aflac ,https://www.corporateregister.com/search/?s=aflac+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=118732-MvEcgTWMS52,2018 Corporate Social Responsibility Report. Purpose with Feathers,https://www.corporateregister.com/a10723/131053-20SG-36563787H6529584672M-No.pdf
80,aflac ,https://www.corporateregister.com/search/?s=aflac+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=106086-MsFPYME./Zo,2017 Corporate Social Responsibility Report. More Than A Promise,https://www.corporateregister.com/a10723/114981-19Su-29435136R35761390620U-No.pdf
81,aflac ,https://www.corporateregister.com/search/?s=aflac+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=96738-ZED2bqO8/Qo,2016 Corporate Social Responsibility Report. Everyone has the power to do good,https://www.corporateregister.com/a10723/132194-20Su-34899216U7249518960K-Gl.pdf
82,allergan ,https://www.corporateregister.com/search/?s=allergan+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=73090-3Yj7wyT15ak,2015 Allergan’s UN Global Compact Communication on Progress,Search did not match any organisations.
83,allergan ,https://www.corporateregister.com/search/?s=allergan+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=73089-05BrPXKQfAo,2015 Allergan Sustainability Performance Report. Sustainability for the future,https://www.corporateregister.com/a10723/133298-20Co-29192262J6736880920P-Gl.pdf
84,allergan ,https://www.corporateregister.com/search/?s=allergan+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=65823-7tHY8y0qqMg,2014 Allergan Sustainability Performance Report. Sustainability for the future,https://www.corporateregister.com/a10723/133299-20In-36923823R43832976768S-Gl.pdf
85,allergan ,https://www.corporateregister.com/search/?s=allergan+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=65822-O/m3TnsWHCs,2014 Allergan’s UN Global Compact Communication on Progress,https://www.corporateregister.com/a10723/122173-19Co-31642807I35900413877B-Gl.pdf
86,allergan ,https://www.corporateregister.com/search/?s=allergan+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=55931-G2WwIl.bnPA,2013 Allergan Sustainability Performance Report. Sustainability for the future,https://www.corporateregister.com/a10723/116214-19In-28472430J6319717320R-Gl.pdf
