,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
3557,685337868,20170830,USAMED,ASSOCIATED PRESS,USA,MED,LAB,EMPLOYEE,,LAB,13,0.189393939393937,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://www.dailymail.co.uk/wires/ap/article-4836806/Former-Expedia-CEO-takes-helm-Uber-Wednesday.html
3559,685373390,20170830,,,,,LAB,EMPLOYEE,,LAB,13,0.0,,,"San Francisco, California, United States",US,http://www.rockymounttelegram.com/National-Business/2017/08/30/Former-Expedia-CEO-takes-helm-of-Uber-on-Wednesday.html
3562,685392129,20170830,BUS,BUSINESS,,BUS,MED,MEDIA,,MED,20,1.47492625368732,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,https://www.tnooz.com/article/interview-dara-khosrowshahi-remains-mum-on-uber-job-highlights-expedia-growth/
3563,685426149,20170830,BUS,COMPANY,,BUS,LAB,EMPLOYEE,,LAB,10,-0.81037277147488,Iran,IR,Iran,IR,http://www.dailymail.co.uk/sciencetech/article-4835606/Uber-officially-welcomes-CEO-Expedias-Dara-Khosrowshahi.html
3565,685444735,20170830,USAGOV,UNITED STATES,USA,GOV,LAB,EMPLOYEE,,LAB,13,0.874404942403174,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://www.thefiscaltimes.com/latestnews/2017/08/30/Uber-officially-welcomes-CEO-Expedias-Dara-Khosrowshahi
3566,685449407,20170830,USA,UNITED STATES,USA,,USABUS,BOSTON,USA,BUS,46,4.54545454545454,"Boston, Massachusetts, United States",US,"Boston, Massachusetts, United States",US,http://www.marketwatch.com/story/expedia-inc-announces-new-ceo-2017-08-30
3568,685450025,20170830,BUS,COMPANY,,BUS,LAB,EMPLOYEE,,LAB,10,-1.03801152968644,"Delaware, United States",US,"Delaware, United States",US,https://www.investing.com/news/technology-news/uber-officially-welcomes-as-ceo-expedias-dara-khosrowshahi-523711
3569,685460764,20170830,GOV,CHIEF EXECUTIVE,,GOV,USA,UNITED STATES,USA,,51,0.0,"London, London, City of, United Kingdom",UK,"London, London, City of, United Kingdom",UK,http://www.seattletimes.com/business/expedia-picks-its-cfo-to-fill-ceo-spot/
3571,685470385,20170830,MNCUSAMED,GOOGLE,USA,MNC,BUS,COMPANY,,BUS,20,1.07758620689655,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,https://techcrunch.com/2017/08/30/expedia-names-mark-okerstrom-as-new-ceo-after-khosrowshahi-leaves-to-run-uber/
3572,685473071,20170830,GOV,PRESIDENT,,GOV,USA,UNITED STATES,USA,,186,0.483091787439613,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,http://www.bnn.ca/expedia-cfo-okerstrom-to-succeed-khosrowshahi-as-ceo-1.843351
